Section Seq,Section Title,Item Type,Content Seq,Author Name,Author,Issue,Issue Sort Key,Post Date,Path,Content Title,Title for Sort,Page Heading,Subtitle,Tags,Teaser,Image,Alt,lastmod,changefreq,priority,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-06-25,blog/hbowie/,The Dangers of Political Nostalgia,dangers of political nostalgia,The Dangers of Political Nostalgia,,"democracy, governance, critical thinking","I'm not quite as old as Biden, and I've never served in public office, but I can still share his nostalgia for seemingly simpler times when our political leaders displayed some sort of respect for each other, even when they disagreed over issues of state. However it's one thing to reveal a preference for certain elements of those bygone days, but quite another to base your presidential run on wishful thinking that those lost elements can somehow be restored in the third decade of the 21st century.",mr-smith.jpg,Mr. Smith Goes to Washington,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-06-10,blog/hbowie/,The Progressive Problem,progressive problem,The Progressive Problem,,"democracy, governance, written word","No wonder zombie movies have been popular of late: so many of us feel like increasingly isolated survivors having to fight off forces that we thought were previously vanquished and long buried, forces that seem to be arising all around us, springing at us from all sides.",culture-loading.jpg,Culture loading…,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-05-22,blog/hbowie/,How to Fix Big Tech,how to fix big tech,How to Fix Big Tech,,"property, democracy, value creation","We all sort of know the problems, right? Monopolies. Lock-in. Stream addiction. Reality bubbles. Billionaires seeking market dominance. All other values taking a back seat to growth. I don't think I need to elaborate. If you're reading this, then you're probably well aware of all these concerns. But what do we do about them? Here are a couple of ideas. Radical but practical. And very doable. ",social-media.jpg,Social Media,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-04-25,blog/hbowie/,The Challenge for Democrats: Playing the Long Game,challenge for democrats: playing the long game,The Challenge for Democrats: Playing the Long Game,,"democracy, governance, systemic, progress","Right now Democrats are focused primarily on two things happening in 2020: 1. Beating Trump; 2. Regaining control of the Senate. These would both be great accomplishments for the party, and for the winning candidates. But for the country, not so much. ",the-long-game.jpg,Longest ladder leads to the target,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-04-15,blog/hbowie/,The Devastating Tragedy of our Vanishing Middle Class,devastating tragedy of our vanishing middle class,The Devastating Tragedy of our Vanishing Middle Class,,"society, equality","If you react in any of these typical ways, then I will argue today that you're missing the bigger picture, and overlooking the most devastating consequences of our country's loss of our middle class.",middle-class.jpg,Girls lying down in station wagon,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-03-25,blog/hbowie/,How a Balanced Candidate Might Win the Presidency,how a balanced candidate might win the presidency,How a Balanced Candidate Might Win the Presidency,,"balance, democracy, governance",I wrote recently to express my skepticism about the chances of a  centrist candidate becoming our next U.S. president. I write today to share my belief that a balanced candidate might well win. ,balanced-candidate.jpg,Woman stand up paddle boarding on a pristine mountain lake,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-03-24,blog/hbowie/,My List of Requirements for our Next President,my list of requirements for our next president,My List of Requirements for our Next President,,"democracy, governance, critical thinking","While many of us are waiting for our 2020 presidential candidates to hit the road and give us a chance to to get to know them better, I decided to stop waiting and let them know what I'm looking for in a new president. I mean after all, it doesn't seem fair to make them guess. ",checklist.jpg,checklist,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-03-11,blog/hbowie/,Citizen Kane vs. Citizen Bailey,citizen kane vs. citizen bailey,Citizen Kane vs. Citizen Bailey,,"cultural evolution, integral, art","I've often considered *Citizen Kane* and *It's A Wonderful Life* to be complementary works, much like cinematic twins separated at birth.",kane-vs-bailey.jpg,Citizen Kane and George Bailey,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-03-05,blog/hbowie/,Our Three Human Approaches to Dealing with Problems,our three human approaches to dealing with problems,Our Three Human Approaches to Dealing with Problems,And How These Apply to the Issue of Global Sustainability,"systemic, critical thinking, science, sustainability","We all run into challenges from time to time, whether at work, at home, or in our communities. In general, I would suggest, we have three different approaches available to us when we try to respond to such situations. ",three-approaches.jpg,Three Approaches to Dealing with Problems,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-02-18,blog/hbowie/,Is There Any Middle Left?,is there any middle left?,Is There Any Middle Left?,,"democracy, governance","As the US political scene transitions from the Democratic successes in the midterms to the beginnings of the 2020 presidential contest, one of the most pressing questions to emerge is whether there is any meaningful middle ground remaining along the political spectrum stretching from left to right. ",any-middle-left.jpg,Stuck in the middle,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-02-11,blog/hbowie/,Rebuilding Trust In Our Large Institutions,rebuilding trust in our large institutions,Rebuilding Trust In Our Large Institutions,,"cultural evolution, mission, society, value creation",I find it fascinating to compare the original *Star Trek* television series with the first *Star Wars* movie. And I think this comparison can reveal a lot about the current state of our culture.,star-wars.jpg,Original Star Wars Poster,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-01-27,blog/hbowie/,Our American Class System,our american class system,Our American Class System,,"democracy, society, equality","In short, this was a period of our history during which class distinctions seemed to be fading. Sure, some people had more money than others. My mother drove a Ford Falcon, my father drove a Mustang, and my Uncle drove a Thunderbird. But they all drove Fords, everyone drove cars built in Detroit, and the similarities between the cars they were driving were more significant than the differences. ",coke.jpg,Coca-Cola,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-01-21,blog/hbowie/,What We Can Learn from the Government Shutdown,what we can learn from the government shutdown,What We Can Learn from the Government Shutdown,,"democracy, value creation, society","As I write this, those of us in the U.S. are on day 30 of a partial federal government shutdown whose effects are increasingly rippling through our society. How did we get here, we might ask ourselves? And how might we avoid such lunacy in the future? Here are six things we might want to watch out for.",govt-shutdown.jpg,Government Shutdown,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2019-01-07,blog/hbowie/,The Truth About Capitalism,truth about capitalism,The Truth About Capitalism,,"democracy, value creation, equality, society","No matter which way you lean politically, you probably have strong feelings about capitalism. It seems to me that there are a lot of odd ideas on this topic running around out there in today's world. Let me offer some thoughts about what seems true to me. ",capitalism.jpg,Capitalism,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-12-17,blog/hbowie/,Have We Passed The Point of Maximum Useful Tech?,have we passed the point of maximum useful tech?,Have We Passed The Point of Maximum Useful Tech?,,"cultural evolution, critical thinking, society, tools","What happened between 1990 and 2018? Who stuck the playing card between the spokes of the bicycle for my mind, turning a mental enabler into an annoying distraction?",max-useful-tech.jpg,Omnipresent Technology,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-12-03,blog/hbowie/,Calling for a US Sustainability Initiative,calling for a us sustainability initiative,Calling for a US Sustainability Initiative,,"sustainability, society","Looking back over the history of the United States, it's easy to see in hindsight a series of events and actions that have either united or divided us.",sustainability.jpg,A Green Environment,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-11-19,blog/hbowie/,A Broadcast Consciousness,broadcast consciousness,A Broadcast Consciousness,,"integral, cultural evolution",Let me take you on a little journey of thought exploring some hitherto unconsidered aspects of our common cultural evolution. ,please-stand-by.jpg,Please Stand By,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-10-31,blog/hbowie/,My Advice to Young People of All Ages,my advice to young people of all ages,My Advice to Young People of All Ages,,"art, education, individuals","Today I'd like to change my focus and offer some advice for what people can and should do to improve their own personal lots in modern life. I have only a few recommendations, and they're rather brief and straightforward, although I won't claim they're easy. ",advice.jpg,Notifications,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-10-04,blog/hbowie/,US Political Observations for October 2018,us political observations for october 2018,"US Political Observations for October, 2018",,"governance, democracy, rule of law","In this brief respite between primary season and the general US midterm elections in November, I thought it might be fitting to  offer up a few suggestions to those of us who will be participating, whether as candidates or as voters.",vote-2018.jpg,Vote 2018,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-09-26,blog/hbowie/,Our Societal Disconnect,our societal disconnect,Our Societal Disconnect,,society ,"I was thinking recently about my own upbringing in Annapolis, Maryland, back in the sixties, and it occurred to me that there were several aspects of my experience there and then that I took for granted, but that are no longer very common today.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-09-15,blog/hbowie/,Why I Call Myself a Practopian,why i call myself a practopian,Why I Call Myself a Practopian,,"humanism, religion",I suffered a crisis of faith a few years ago: a crisis of faith in my atheism. ,,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-08-04,blog/hbowie/,A Twenty-Six Legged Stool?,twenty-six legged stool?,A Twenty-Six Legged Stool?,,"society, balance","A few years ago, when I was teaching software development, I often invoked the image of a three-legged stool, with each leg representing one of the essential leadership roles: leave out any one of them, you see, and your project is liable to fall over. The human mind is pretty good at understanding these sorts of visual analogies, and is also pretty good at working with short lists of important things. This limited numeric range is, perhaps, unfortunate, because, as far as I can discern, there are no fewer than twenty-six essentials that modern humans must keep their eyes on in order for us to keep civilization as we know it moving forward on a reasonably even keel. Ignore or devalue any one of them, I maintain, and it is human society that starts to fall over.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-07-02,blog/hbowie/,What To Do About Big Business?,what to do about big business?,What To Do About Big Business?,,"democracy, balance","Has business gotten too big? Rather than trying to answer this question directly, let's start by reviewing the fundamental architecture of all modern societies.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-06-22,blog/hbowie/,Humanism,humanism,Humanism,,humanism,"The first Practopian core principle states that ""We are humanistic: we are focused on human concerns and human potential."" The primary intent behind this statement is to signal that we don't claim to represent any authority other than our own very human selves, and that we focus on the interests of ourselves and our fellow humans. However, there are a whole host of Humanist organizations already in existence around the globe, representing a Humanist movement of sorts, and so it may be helpful to comment on how I see the Society for Practical Utopians in relationship to these other brands of humanism.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-04-13,blog/hbowie/,Talking Openly about Hierarchy,talking openly about hierarchy,Talking Openly about Hierarchy,,"governance, cultural evolution",I sometimes think that at least half of the confusion we currently experience in our civil discourse stems from our inability to speak openly and honestly about the nature of hierarchy.,,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-04-10,blog/hbowie/,The Unraveling of The Common Good,unraveling of the common good,The Unraveling of The Common Good,,"democracy, systemic","I've recently read *The Common Good* by Robert B. Reich, and can recommend it heartily. It's a lovely little book that can help remind us all that we have obligations to the societies in which we live and work, and that contributing to the common good should be a daily calling for all of us. Still though, I can't help but feel that Reich's description of the unraveling of the common good in the USA is incomplete, and so I'd like to offer something of an addendum with the words that follow. ",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-04-05,blog/hbowie/,A Traditional Remedy for the Facebook Problem: Competition,traditional remedy for the facebook problem: competition,A Traditional Remedy for the Facebook Problem: Competition,,"democracy, cultural evolution, value creation","Facebook has been in the news lately due to renewed privacy concerns, and many observers have called for various solutions, including pledges from CEO Mark Zuckerberg to do better, as well as increased government regulation. But there seems to be an obvious and somewhat traditional remedy that is not getting much consideration: good old fashioned competition. ",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-02-27,blog/hbowie/,A Practopian Approach to Gun Issues in the US,practopian approach to gun issues in the us,A Practopian Approach to Gun Issues in the US,,"integral, cultural evolution","The recent Florida school shooting has again propelled issues surrounding gun violence into the forefront of our national dialogue. The Core Practopian beliefs may seem very broad and general, but I'd like to illustrate how they can be usefully employed in a specific debate such as this one. ",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2018-01-22,blog/hbowie/,Technology Education for the Youth of Today,technology education for the youth of today,Technology Education for the Youth of Today,,"education, cultural evolution","I came across a couple of things recently that got me thinking about the value of technology education, and what that training should look like. The first item that caught my attention was Kirk McElhearn's blog post about ""The Tech Industry's Tunnel Vision about Coding and Language.""",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2017-11-15,blog/hbowie/,Art and the Eye of the Beholder,art and the eye of the beholder,Art and the Eye of the Beholder,,"art, stories","I've noticed that Big Thinkers -- people like Ken Wilber and Yuval Noah Harari -- tend to get confused about art and why it matters. Unable to find a neat place for it in their developmental models of civilization, they end up citing that old chestnut of ""Beauty is in the eye of the beholder"" and leaving it at that, as an entirely subjective experience. Everyone's idea of beauty can be different, they say, and they're all equally valid. Of course, I've never run across an actual artist who sees things this way.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2017-08-23,blog/hbowie/,Help! Help! The Robots are Coming!,help! help! the robots are coming!,Help! Help! The Robots are Coming!,,"cultural evolution, individuals",Many pundits today are predicting a future of robots equipped with artificial intelligence so powerful that they will essentially render great swaths of humanity obsolete. Let me just make a few points concerning such imaginings.,,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2017-07-13,blog/hbowie/,Our American Identity: Where To Next?,our american identity: where to next?,Our American Identity: Where To Next?,,"liberty, progress","Like many of my fellow citizens, I've been struggling in recent months to understand exactly what it means to be American these days -- to identify the central elements of our collective identity that still bind us together as some kind of unified whole.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2017-06-12,blog/hbowie/,In Defense of Balance,in defense of balance,In Defense of Balance,,balance,"When I founded The Society for Practical Utopians, I based it on a fundamental set of beliefs, divided up into principles and values. And the very first value, the one given preeminent position, is balance.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2017-03-26,blog/hbowie/,"A Compact, Extensible, Open-Source Belief System for the 21st Century","compact, extensible, open-source belief system for the 21st century","A Compact, Extensible, Open-Source Belief System for the 21st Century",,,It often seems that there is little in this modern world that any two of us can agree on. ,,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2016-12-29,blog/hbowie/,Another Way to Think about the US Elections,another way to think about the us elections,Another Way to Think about the US Elections,,"cultural evolution, integral","I was recently puzzling over the still surprising victory of Donald Trump in the recent US Presidential elections, when it occurred to me that there is another way to think about this whole chain of events. What follows is going to require some understanding of evolving developmental levels for people and our societies, so let me start with a summary of my understanding of these.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2016-12-08,blog/hbowie/,Christmas For All,christmas for all,Christmas For All,,humanism,"Here we are at the end of another year, well into what many of us call the Holiday Season. As I've remarked elsewhere, when it comes to religion, I'm a bit of a mongrel, so my approach to the holidays, while imbued with many of the traditional practices and stories associated with a good Methodist upbringing, does not hew closely to any particular set of Christian dictates. But that's perhaps as it should be, for Christmas, it seems to me, has always been too big a thing to be narrowly claimed by any particular religious organization. ",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2016-11-09,blog/hbowie/,Making Sense of What Happened on Nov 8,making sense of what happened on nov 8,Making Sense of What Happened on Nov 8,,democracy,Trying hard to make sense of what happened last night. Here are my thoughts. 1. Our country is almost equally divided into two camps. ,,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2016-11-03,blog/hbowie/,What We Need After the Election,what we need after the election,What We Need After the Election,,"education, society, sustainability","It may be too early to know who will win on Tuesday, but it's not too early to assess the major issues roiling the electorate and offer a few thoughts about what needs to happen after the voting is over -- no matter who comes out on top. ",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2016-01-10,blog/hbowie/,Developmental Levels as Evolving Social Structures,developmental levels as evolving social structures,Developmental Levels as Evolving Social Structures,,"cultural evolution, integral","As human society has evolved over the centuries, we have developed different types of social structures. None of the later structures  replace earlier ones, yet each new structure has been devised in order to confer some new sort of evolutionary advantage to our species -- in other words, to help us survive and thrive more effectively.",,,,,,,,,,,,,,
